audioPath,spa,guc
1,¡Ayuda!,¡Pükaalijaa taya!
2,¿A qué hora es mi vuelo?,¿Jalapüsheerü o'unuin katünasükat tamaa?
3,¿Cómo accedo a Internet?,¿Jameerü takuwa'ipa süpüla tekerotuin sünain Internet?
4,¿Cómo llego a,¿Jamüinjatü takuwa'ipa süpüla tantuinjachin
5,¿Cuántas camas hay en la habitación?,¿Jera o'ula eeka sulu'u atunkaapüleekat?
6,¿Cuánto cuesta la comida?,¿Jera saa'u tü eküütka?
7,¿Cuánto cuesta la dormida?,¿Jera sülia atunkaa ya'aya?
8,¿Cuanto te debo?,¿Jera tojuyaala puulia?
9,¿Dónde está el banco?,¿Jalasü eere wanko yaapüna?
10,¿Dónde está el hospital?,¿Jalasü eere süpüleerua ayuuisu yaapüna?
11,¿Dónde está la casa de cambio de moneda?,¿Jalasü eere suwanajaanuin tü neetka yaapüna?
12,¿Dónde está la parada de autobús?,¿Jalasü eere susha'walaain wuusa?
13,¿Dónde está mi maleta?,¿Jalasü tachisaka yaa?
14,¿Dónde puedo encontrar un restaurante?,¿Jaleerü tousuta anain wanee ekawaapülee?
15,¿Dónde puedo encontrar un supermercado?,¿Jaleerü tousuta anain wanee meetkalu'u?
16,¿Dónde puedo encontrar un taxi?,¿Jaleerü tousuta anain wanee taxi?
17,¿En cuál empresa viajo?,¿Jetsü empüreesa eere to'unajachi alu'u?
18,¿En qué piso estoy?,¿Jetsü piiso eere taya müinma?
19,¿Hay desayuno gratis?,¿Eesü eküülü ee maliain?
20,¿La habitación tiene un baño?,¿Eesü awuna'ajaapülee sulu'u atunkaapüleekat?
21,¿Las comidas están incluidas?,¿Eeinjatü eküülü sümaa?
22,¿Puedes darme algo de comer?,¿Eesü süpüla paapuin tamüin wanee kasa süpüla ekaa?
23,¿Puedes darme algo de tomar?,¿Eesü süpüla paapuin tamüin wanee kasa süpüla asaa?
24,¿Puedes darme la cuenta?,¿Jera eere tojuyaala?
25,¿Puedo comprar unas mochilas?,¿Eesü süpüla tayalajuin waneeirua katto'ui?
26,¿Puedo ver un menú?,¿Eesü süpüla te'ruin tü eekalu'u süpüla ekawaa?
27,¿Qué hora es?,¿Jalapüshi waya?
28,¿Qué tan lejos es,¿Eesü wattain yaaje
29,¿Sabes dónde queda este hotel?,¿Pütüjaa aa'u jalain eere oteetka tüü?
30,¿Tienes un mapa?,¿Eesü wanee mapa püma'ana?
31,Alguien robó mi dinero,Eeshi wanee jarali a'luwajakai tatneetse.
32,Buenas noches,Anasü aipa'a.
33,Buenas tardes,Anasü aliika.
34,Buenos días,Watta'a maalü.
35,Cómo estás,Jamayaa pia
36,Cómo va,Jamüirü saa'in
37,días,ka'irua
38,Es a la derecha,Chasü akialu'umüin.
39,Es a la izquierda,Chasü epe'erumüin.
40,Es derecho,Chasü lotoo sünain.
41,Está a 2 cuadras adelante,Cha 2 karateerü sünain
42,Está en la esquina,Cha wiipüna.
43,Estaré aquí durante unos ,Yaajeechi taya waneeirua ka'i
44,Estoy visitando familiares,Awaraijaashi taya eepünaa tapüshi.
45,Hola,Jamayaa.
46,Me gustaría,Ke'ireesü taa'in.
47,Me gustaría ir a,O'uneesü taa'in sünain
48,Me gustaría pedir,Tachuntee amüin.
49,Me gustaría que la limpiaran,Ke'ireesü taa'in uleeinjatü
50,Me gustaría tomar,Aseeshi taya
51,Me gustaría un postre,Ke'ireesü taa'in wanee totta
52,"Me gustaría una cama doble, por favor","Ke'ireesü taa'in piamain toula'a, analu'u saa'u"
53,Me gustarían dos camas dobles,Ke'ireesü taa'in piamain toula'a
54,Me quedo en Uribia,Makateechi taya yaa Ichitkii.
55,Mi habitación está desordenada,Nnojotsü anouktaanuin eere tatunkain
56,Mi habitación necesita toallas,Cho'ujaasü kuluula eere tatunkaain.
57,No entiendo,Nnojotsü tatüjaa aa'u.
58,Pediré pollo,Achunteechi taya katio'u
59,Pediré una ensalada,Achunteechi taya wanee ensalaada
60,Pediré una hamburguesa,Achunteechi taya wanee hamburguesa
61,Pediré una sopa,Achunteechi taya shira
62,Perdí mi pasaporte,Amülouisu toulia takaralo'utasü
63,por favor,analu'ut saa'u
64,Una mesa para cuatro,Wanee meesa wapüla piechishii waya
65,Una mesa para dos,Wanee meesa süpüla piamashii waya
66,Viajo por placer,Awaraijaashi taya sutuma kamalain tamüin
67,Viajo por trabajo,Awaraijaashi taya sutuma ta'yataain